客戶編號,性別,年齡,婚姻,扶養人數,城市,郵遞區號,緯度,經度,推薦次數,加入期間 (月),優惠方式,電話服務,平均長途話費,多線路服務,網路服務,網路連線類型,平均下載量( GB),線上安全服務,線上備份服務,設備保護計劃,技術支援計劃,電視節目,電影節目,音樂節目,無限資料下載,合約類型,無紙化計費,支付帳單方式,每月費用,總費用,總退款,額外數據費用,額外長途費用,總收入,客戶狀態,客戶流失類別,客戶離開原因,Age,Dependents,Total_Revenue,人口估計,CLV,CLV_Group,Churned
1173-NOEYG,Female,25,Yes,0,Santa Margarita,93453,35.303926,-120.256567,1,27,無優惠,Yes,18.74,Yes,Yes,Fiber Optic,59.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.15,2423.4,0.0,0,505.98,2929.38,Stayed,,,25,0,2929.38,2687,2929.38,Mid CLV,False
1173-XZPYF,Female,60,No,0,Torrance,90501,33.833699,-118.314387,0,11,Offer D,Yes,10.95,Yes,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,990.3,0.0,0,120.45,1110.75,Stayed,,,60,0,1110.75,40705,1110.75,Mid CLV,False
1174-FGIFN,Female,44,Yes,1,Squaw Valley,93675,36.719141,-119.202677,7,28,Offer C,Yes,26.28,Yes,Yes,Fiber Optic,19.0,No,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.45,2509.25,0.0,0,735.84,3245.09,Stayed,,,44,1,3245.09,3146,3245.09,Mid CLV,False
1177-XZBJL,Male,35,Yes,2,Palermo,95968,39.435756,-121.552071,1,53,Offer B,Yes,37.57,Yes,Yes,DSL,15.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,64.15,3491.55,0.0,0,1991.21,5482.76,Stayed,,,35,2,5482.76,1254,5482.76,High CLV,False
1178-PZGAB,Female,45,No,0,Sun City,92585,33.739412,-117.173334,0,19,無優惠,Yes,18.57,No,No,,0.0,,,,,,,,,One Year,No,Credit Card,20.25,383.65,0.0,0,352.83,736.48,Stayed,,,45,0,736.48,8692,736.48,Low CLV,False
1179-INLAT,Male,33,No,0,Santa Clara,95050,37.351214,-121.952417,0,3,無優惠,Yes,2.78,No,No,,0.0,,,,,,,,,One Year,Yes,Credit Card,19.45,69.25,0.0,0,8.34,77.59,Joined,,,33,0,77.59,36349,77.59,Low CLV,False
1183-CANVH,Female,55,Yes,0,Escondido,92027,33.141265,-116.967221,5,23,Offer D,Yes,1.39,No,Yes,DSL,18.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,60.0,1347.15,0.0,0,31.97,1379.12,Stayed,,,55,0,1379.12,48690,1379.12,Mid CLV,False
1184-PJVDB,Male,38,Yes,0,Amador City,95601,38.431407,-120.8421,1,10,無優惠,Yes,11.3,No,Yes,Fiber Optic,4.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,857.2,0.0,0,113.0,970.2,Churned,Competitor,Competitor had better devices,38,0,970.2,222,970.2,Mid CLV,True
1187-WILMM,Male,39,Yes,0,Lindsay,93247,36.205465,-119.085807,6,63,無優惠,Yes,44.55,Yes,Yes,DSL,29.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,89.4,5597.65,0.0,0,2806.65,8404.3,Stayed,,,39,0,8404.3,15508,8404.3,High CLV,False
1193-RTSLK,Female,26,No,0,Happy Camp,96039,41.831901,-123.487478,0,38,無優惠,Yes,36.18,No,Yes,Fiber Optic,48.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,83.9,3233.6,0.0,0,1374.84,4608.44,Churned,Competitor,Competitor offered higher download speeds,26,0,4608.44,1294,4608.44,High CLV,True
1194-BHJYC,Male,22,Yes,0,Lockwood,93932,35.989792,-121.055933,1,61,Offer B,No,0.0,,Yes,DSL,59.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,62.15,3778.85,0.0,0,0.0,3778.85,Stayed,,,22,0,3778.85,538,3778.85,Mid CLV,False
1194-HVAIF,Female,21,Yes,0,Capistrano Beach,92624,33.458754,-117.665104,1,27,Offer C,Yes,18.42,Yes,Yes,Fiber Optic,26.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,95.0,2462.55,0.0,0,497.34,2959.8900000000003,Stayed,,,21,0,2959.8900000000003,7465,2959.8900000000003,Mid CLV,False
1194-SPVSP,Male,20,No,0,Soquel,95073,37.023669,-121.946461,0,1,無優惠,Yes,27.88,No,No,,0.0,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.65,19.65,0.0,0,27.88,47.53,Joined,,,20,0,47.53,9823,47.53,Low CLV,False
1195-OIYEJ,Male,54,No,0,La Puente,91746,34.038983,-117.991372,0,13,Offer D,Yes,5.43,No,Yes,Fiber Optic,26.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,91.1,1135.7,0.0,80,70.59,1286.29,Churned,Attitude,Attitude of support person,54,0,1286.29,30802,1286.29,Mid CLV,True
1196-AMORA,Male,63,No,0,Big Creek,93605,37.17277,-119.2997,0,7,無優惠,Yes,38.07,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,73.6,520.0,0.0,0,266.49,786.49,Churned,Competitor,Competitor offered more data,63,0,786.49,273,786.49,Low CLV,True
1197-BVMVG,Female,65,No,0,Friant,93626,37.027663,-119.69056,0,4,無優惠,Yes,4.29,Yes,Yes,Fiber Optic,7.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.45,294.45,0.0,0,17.16,311.61,Stayed,,,65,0,311.61,1125,311.61,Low CLV,False
1200-TUZHR,Female,70,No,0,Posey,93260,35.861928,-118.636698,0,8,Offer E,Yes,44.63,Yes,Yes,Fiber Optic,29.0,No,No,No,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,85.2,695.75,0.0,0,357.04,1052.79,Stayed,,,70,0,1052.79,266,1052.79,Mid CLV,False
1202-KKGFU,Female,24,Yes,0,Korbel,95550,40.7666,-123.80458,4,12,Offer D,Yes,23.99,No,Yes,DSL,51.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.2,690.5,0.0,0,287.88,978.38,Stayed,,,24,0,978.38,155,978.38,Mid CLV,False
1205-WNWPJ,Female,54,No,0,Lakehead,96051,40.883853,-122.418258,0,7,Offer E,Yes,2.24,No,Yes,DSL,22.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,59.5,415.95,0.0,0,15.68,431.63,Churned,Other,Moved,54,0,431.63,1236,431.63,Low CLV,True
1206-EHBDD,Female,56,Yes,0,Rodeo,94572,38.027218,-122.23463,9,56,Offer B,Yes,4.24,No,Yes,Fiber Optic,15.0,Yes,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,80.3,4513.65,0.0,0,237.44,4751.089999999999,Stayed,,,56,0,4751.089999999999,8506,4751.089999999999,High CLV,False
1207-BLKSA,Female,42,Yes,2,Redwood City,94061,37.461251,-122.235414,1,52,無優惠,Yes,19.21,Yes,No,,0.0,,,,,,,,,Two Year,No,Credit Card,23.05,1255.1,0.0,0,998.92,2254.02,Stayed,,,42,2,2254.02,35737,2254.02,Mid CLV,False
1208-DNHLN,Male,60,Yes,0,Grizzly Flats,95636,38.636102,-120.522149,1,23,無優惠,Yes,5.8,Yes,Yes,DSL,12.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,48.35,1067.15,0.0,0,133.4,1200.5500000000002,Churned,Other,Don't know,60,0,1200.5500000000002,659,1200.5500000000002,Mid CLV,True
1208-NBVFH,Male,63,Yes,1,Perris,92570,33.787298,-117.320676,5,20,無優惠,Yes,13.18,No,Yes,Cable,10.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.6,939.8,0.0,0,263.6,1203.4,Stayed,,,63,1,1203.4,36817,1203.4,Mid CLV,False
1209-VFFOC,Male,47,Yes,2,Brisbane,94005,37.684694,-122.40712,10,68,Offer A,No,0.0,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,56.4,3948.45,0.0,0,0.0,3948.45,Stayed,,,47,2,3948.45,3635,3948.45,Mid CLV,False
1212-GLHMD,Male,54,No,0,San Joaquin,93660,36.600193,-120.153393,0,3,Offer E,Yes,18.26,No,Yes,Fiber Optic,29.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,86.05,244.85,0.0,0,54.78,299.63,Joined,,,54,0,299.63,4318,299.63,Low CLV,False
1213-NGCUN,Female,49,No,0,San Diego,92111,32.805518,-117.169052,0,6,Offer E,Yes,48.89,No,Yes,DSL,22.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.65,267.35,0.0,0,293.34,560.69,Churned,Dissatisfaction,Lack of self-service on Website,49,0,560.69,46828,560.69,Low CLV,True
1215-EXRMO,Male,32,Yes,0,Junction City,96048,40.913192,-123.06597,4,50,無優惠,Yes,46.91,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,20.55,1067.65,0.0,0,2345.5,3413.15,Stayed,,,32,0,3413.15,734,3413.15,Mid CLV,False
1215-FIGMP,Male,27,No,0,Los Angeles,90077,34.102084,-118.451629,0,60,Offer B,Yes,42.88,Yes,Yes,Fiber Optic,52.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,5450.7,0.0,0,2572.8,8023.5,Stayed,,,27,0,8023.5,10470,8023.5,High CLV,False
1215-VFYVK,Female,19,No,0,Groveland,95321,37.902968,-119.667544,0,4,Offer E,No,0.0,,Yes,Cable,30.0,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,48.25,202.25,0.0,10,0.0,212.25,Stayed,,,19,0,212.25,3680,212.25,Low CLV,False
1216-BGTSP,Male,30,No,0,Imperial,92251,32.858595,-115.662709,0,45,無優惠,Yes,5.97,Yes,Yes,Fiber Optic,73.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.45,4964.7,0.0,0,268.65,5233.349999999999,Stayed,,,30,0,5233.349999999999,14546,5233.349999999999,High CLV,False
1216-JWVUX,Male,51,Yes,3,San Miguel,93451,35.886767,-120.608661,4,25,無優惠,Yes,4.46,No,Yes,Fiber Optic,58.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1901.05,0.0,0,111.5,2012.55,Stayed,,,51,3,2012.55,2666,2012.55,Mid CLV,False
1217-VASWC,Male,77,Yes,0,Avila Beach,93424,35.186644,-120.728305,10,43,Offer B,Yes,37.09,No,Yes,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.55,4304.0,0.0,0,1594.87,5898.87,Stayed,,,77,0,5898.87,812,5898.87,High CLV,False
1218-VKFPE,Female,48,Yes,0,Anaheim,92805,33.830209,-117.906099,1,12,Offer D,Yes,19.48,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,19.0,233.55,0.0,0,233.76,467.31,Churned,Competitor,Competitor made better offer,48,0,467.31,68802,467.31,Low CLV,True
1219-NNDDO,Female,51,No,0,Los Angeles,90015,34.039224,-118.266293,0,9,Offer E,Yes,42.41,Yes,Yes,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.85,663.55,0.0,0,381.69,1045.24,Stayed,,,51,0,1045.24,15140,1045.24,Mid CLV,False
1221-GHZEP,Female,45,No,0,Hemet,92544,33.644585,-116.871544,0,62,無優惠,Yes,23.18,No,Yes,DSL,18.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,65.1,3846.75,0.0,0,1437.16,5283.91,Stayed,,,45,0,5283.91,39264,5283.91,High CLV,False
1222-KJNZD,Male,61,Yes,1,Palos Verdes Peninsula,90274,33.788208,-118.404955,2,40,Offer B,Yes,1.89,No,No,,0.0,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.4,745.3,0.0,0,75.6,820.9,Stayed,,,61,1,820.9,24979,820.9,Low CLV,False
1222-LRYKO,Male,21,No,3,Posey,93260,35.861928,-118.636698,0,6,Offer E,Yes,38.28,Yes,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,26.35,184.05,0.0,0,229.68,413.73,Stayed,,,21,3,413.73,266,413.73,Low CLV,False
1223-UNPKS,Male,55,Yes,1,Wendel,96136,40.345949,-120.081187,4,20,無優惠,Yes,3.87,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,20.05,400.0,0.0,0,77.4,477.4,Stayed,,,55,1,477.4,162,477.4,Low CLV,False
1226-IENZN,Male,68,No,0,Los Angeles,90024,34.066303,-118.435479,0,16,Offer D,Yes,39.52,No,Yes,Fiber Optic,17.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,78.75,1218.25,0.0,0,632.32,1850.57,Stayed,,,68,0,1850.57,44150,1850.57,Mid CLV,False
1226-JZNKR,Female,20,Yes,0,Santa Ynez,93460,34.630356,-120.032564,1,8,Offer E,Yes,28.37,No,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,19.8,160.05,0.0,0,226.96,387.01,Stayed,,,20,0,387.01,5710,387.01,Low CLV,False
1226-UDFZR,Female,26,No,0,Lafayette,94549,37.907777,-122.127161,0,2,Offer E,Yes,21.28,No,Yes,Cable,26.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,49.6,114.7,0.0,0,42.56,157.26,Churned,Dissatisfaction,Network reliability,26,0,157.26,23996,157.26,Low CLV,True
1227-UDMZR,Female,53,Yes,0,Fremont,94536,37.572273,-121.964583,4,72,無優惠,Yes,2.95,Yes,Yes,Cable,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,91.15,6637.9,0.0,0,212.4,6850.299999999999,Stayed,,,53,0,6850.299999999999,66543,6850.299999999999,High CLV,False
1228-FZFRV,Male,37,Yes,0,Los Angeles,90007,34.027337,-118.28515,0,50,無優惠,Yes,20.88,Yes,Yes,Fiber Optic,13.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,105.95,5341.8,0.0,0,1044.0,6385.8,Churned,Price,Extra data charges,37,0,6385.8,45025,6385.8,High CLV,True
1228-ZLNBX,Male,25,No,0,Farmington,95230,37.956963,-120.863055,0,21,無優惠,Yes,3.26,Yes,Yes,Fiber Optic,51.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,75.3,1570.7,0.0,0,68.46,1639.16,Stayed,,,25,0,1639.16,596,1639.16,Mid CLV,False
1229-RCALF,Female,37,Yes,0,San Jose,95117,37.311088,-121.961786,1,64,無優惠,Yes,46.44,Yes,Yes,Fiber Optic,29.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,115.0,7396.15,0.0,0,2972.16,10368.31,Stayed,,,37,0,10368.31,29914,10368.31,High CLV,False
1230-QAJDW,Male,32,No,0,Somes Bar,95568,41.444606,-123.471895,0,3,無優惠,Yes,42.68,Yes,Yes,Cable,27.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,65.25,209.9,0.0,0,128.04,337.94,Joined,,,32,0,337.94,202,337.94,Low CLV,False
1231-YNDEK,Male,49,No,0,Redding,96002,40.527834,-122.318749,0,58,無優惠,Yes,29.31,No,No,,0.0,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.15,1035.5,28.7,0,1699.98,2706.7799999999997,Stayed,,,49,0,2706.7799999999997,30338,2706.7799999999997,Mid CLV,False
1236-WFCDV,Male,74,No,0,Greenbrae,94904,37.946617,-122.563571,0,14,無優惠,Yes,11.31,No,Yes,Fiber Optic,24.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,Churned,Competitor,Competitor offered more data,74,0,1424.4399999999998,12010,1424.4399999999998,Mid CLV,True
1237-WIYYZ,Female,49,No,0,Los Angeles,90017,34.052842,-118.264495,0,18,Offer D,Yes,10.67,No,No,,0.0,,,,,,,,,Month-to-Month,Yes,Credit Card,19.55,389.25,0.0,0,192.06,581.31,Stayed,,,49,0,581.31,20692,581.31,Low CLV,False
1240-HCBOH,Female,45,No,0,Windsor,95492,38.527297,-122.810044,0,67,無優惠,Yes,43.3,Yes,No,,0.0,,,,,,,,,Two Year,Yes,Credit Card,26.1,1759.55,0.0,0,2901.1,4660.65,Stayed,,,45,0,4660.65,23701,4660.65,High CLV,False
1240-KNSEZ,Male,63,No,0,San Diego,92127,33.017518,-117.118456,0,1,Offer E,Yes,40.83,No,No,,0.0,,,,,,,,,Month-to-Month,Yes,Credit Card,20.1,20.1,0.0,0,40.83,60.93,Churned,Price,Long distance charges,63,0,60.93,20046,60.93,Low CLV,True
1241-EZFMJ,Male,48,Yes,0,Ontario,91761,34.035602,-117.591528,2,61,Offer B,Yes,11.53,Yes,No,,0.0,,,,,,,,,Two Year,No,Bank Withdrawal,25.45,1538.6,0.0,0,703.33,2241.93,Stayed,,,48,0,2241.93,56280,2241.93,Mid CLV,False
1241-FPMOF,Male,31,No,0,Seal Beach,90740,33.75462,-118.071128,0,52,無優惠,Yes,21.98,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,19.65,1025.05,0.0,0,1142.96,2168.01,Stayed,,,31,0,2168.01,24180,2168.01,Mid CLV,False
1245-HARPS,Female,46,Yes,0,Janesville,96114,40.294034,-120.512622,0,14,無優惠,Yes,14.61,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,20.4,292.4,0.0,0,204.54,496.93999999999994,Stayed,,,46,0,496.93999999999994,3093,496.93999999999994,Low CLV,False
1247-QBVSH,Female,41,Yes,2,Santa Margarita,93453,35.303926,-120.256567,1,43,Offer B,Yes,14.64,No,Yes,DSL,19.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,50.2,2169.4,0.0,0,629.52,2798.92,Stayed,,,41,2,2798.92,2687,2798.92,Mid CLV,False
1248-DYXUB,Male,42,Yes,3,Lemon Grove,91945,32.733564,-117.033713,1,52,Offer B,Yes,40.33,Yes,No,,0.0,,,,,,,,,Two Year,No,Credit Card,24.8,1229.1,0.0,0,2097.16,3326.26,Stayed,,,42,3,3326.26,24961,3326.26,Mid CLV,False
1251-KRREG,Male,22,No,0,North Hollywood,91601,34.1692,-118.372498,0,2,無優惠,Yes,44.31,Yes,Yes,DSL,73.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,54.4,114.1,0.0,0,88.62,202.72,Churned,Price,Price too high,22,0,202.72,36625,202.72,Low CLV,True
1251-STYSZ,Female,66,No,0,Glenhaven,95443,39.045246,-122.743181,0,4,無優惠,Yes,8.75,Yes,Yes,Fiber Optic,4.0,Yes,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,80.25,303.7,0.0,30,35.0,368.7,Stayed,,,66,0,368.7,175,368.7,Low CLV,False
1254-IZEYF,Female,74,No,0,Cutler,93615,36.497895,-119.285484,0,31,無優惠,Yes,39.36,Yes,Yes,Fiber Optic,4.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65,0.0,0,1220.16,4406.81,Churned,Competitor,Competitor made better offer,74,0,4406.81,5519,4406.81,High CLV,True
1257-SXUXQ,Male,20,Yes,1,Jenner,95450,38.505995,-123.187019,10,5,無優惠,Yes,8.04,No,No,,0.0,,,,,,,,,Month-to-Month,No,Credit Card,19.45,86.05,0.0,0,40.2,126.25,Stayed,,,20,1,126.25,438,126.25,Low CLV,False
1258-YMZNM,Female,70,No,0,Montara,94037,37.540582,-122.509594,0,27,Offer C,Yes,35.76,Yes,Yes,Fiber Optic,4.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.5,2857.6,0.0,0,965.52,3823.12,Stayed,,,70,0,3823.12,2346,3823.12,Mid CLV,False
1260-TTRXI,Male,64,No,0,Planada,95365,37.329725,-120.306399,0,4,Offer E,Yes,40.15,No,Yes,DSL,19.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,54.3,195.3,0.0,80,160.6,435.9,Churned,Price,Long distance charges,64,0,435.9,4150,435.9,Low CLV,True
1261-FWTTE,Male,78,No,0,Los Angeles,90067,34.057496,-118.413959,0,23,無優惠,No,0.0,,Yes,Cable,2.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.65,768.45,0.0,0,0.0,768.45,Stayed,,,78,0,768.45,2527,768.45,Low CLV,False
1262-OPMFY,Female,46,Yes,0,San Diego,92130,32.957195,-117.202542,1,9,Offer E,Yes,31.75,No,Yes,Fiber Optic,25.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,655.9,0.0,0,285.75,941.65,Churned,Competitor,Competitor made better offer,46,0,941.65,28201,941.65,Mid CLV,True
1264-BYWMS,Male,40,No,0,La Grange,95329,37.666587,-120.411517,0,55,Offer B,Yes,47.38,Yes,Yes,Fiber Optic,29.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,5283.95,0.0,0,2605.9,7889.85,Churned,Competitor,Competitor offered more data,40,0,7889.85,1749,7889.85,High CLV,True
1264-FUHCX,Female,51,Yes,0,San Diego,92106,32.71346,-117.236378,1,49,Offer B,No,0.0,,Yes,DSL,21.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,56.3,2780.6,0.0,0,0.0,2780.6,Stayed,,,51,0,2780.6,18525,2780.6,Mid CLV,False
1265-BCFEO,Female,30,Yes,0,Alamo,94507,37.855717,-121.994813,1,71,Offer A,Yes,26.58,Yes,Yes,Cable,27.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,80.45,5662.25,0.0,0,1887.18,7549.43,Stayed,,,30,0,7549.43,15187,7549.43,High CLV,False
1265-HVPZB,Male,49,Yes,0,Winnetka,91306,34.209532,-118.577563,3,59,無優惠,Yes,16.06,No,Yes,DSL,4.0,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card,66.4,3958.2,0.0,0,947.54,4905.74,Stayed,,,49,0,4905.74,43857,4905.74,High CLV,False
1265-XTECC,Female,68,Yes,0,Madera,93638,37.004068,-119.930027,5,68,無優惠,Yes,1.98,Yes,Yes,Fiber Optic,19.0,Yes,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Credit Card,96.55,6581.9,0.0,0,134.64,6716.54,Churned,Attitude,Attitude of service provider,68,0,6716.54,49247,6716.54,High CLV,True
1265-ZFOSD,Female,33,Yes,0,Stonyford,95979,39.288127,-122.415841,6,64,無優惠,Yes,16.61,Yes,Yes,Cable,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,81.3,5129.3,22.34,0,1063.04,6170.0,Stayed,,,33,0,6170.0,844,6170.0,High CLV,False
1266-NZYUI,Female,56,Yes,0,Lee Vining,93541,37.890145,-119.184087,6,72,Offer A,Yes,14.65,Yes,Yes,DSL,20.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,66.85,4758.8,0.0,0,1054.8,5813.6,Stayed,,,56,0,5813.6,504,5813.6,High CLV,False
1268-ASBGA,Female,66,Yes,0,Huntington Park,90255,33.97803,-118.217141,1,16,Offer D,Yes,9.93,Yes,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,85.35,1375.15,0.0,0,158.88,1534.0300000000002,Churned,Dissatisfaction,Limited range of services,66,0,1534.0300000000002,78114,1534.0300000000002,Mid CLV,True
1269-FOYWN,Male,23,Yes,3,Phillipsville,95559,40.184094,-123.745487,2,44,無優惠,Yes,36.86,No,No,,0.0,,,,,,,,,One Year,No,Bank Withdrawal,20.0,860.85,0.0,0,1621.84,2482.69,Stayed,,,23,3,2482.69,163,2482.69,Mid CLV,False
1270-XKUCC,Female,24,Yes,1,San Diego,92122,32.85723,-117.209774,1,30,無優惠,Yes,12.85,No,No,,0.0,,,,,,,,,Two Year,No,Credit Card,19.7,599.25,49.79,0,385.5,934.96,Stayed,,,24,1,934.96,34902,934.96,Mid CLV,False
1271-SJBGZ,Male,77,No,0,Forest Knolls,94933,38.010092,-122.689442,0,12,無優惠,No,0.0,,Yes,DSL,10.0,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,Churned,Competitor,Competitor had better devices,77,0,526.95,1025,526.95,Low CLV,True
1271-UODNO,Male,60,No,0,San Jose,95118,37.255479,-121.889838,0,39,無優惠,Yes,5.4,Yes,Yes,DSL,16.0,No,No,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,53.85,2200.7,46.66,0,210.6,2364.64,Stayed,,,60,0,2364.64,31926,2364.64,Mid CLV,False
1272-ILHFG,Male,48,Yes,3,La Habra,90631,33.940619,-117.9513,1,15,Offer D,Yes,17.28,No,No,,0.0,,,,,,,,,One Year,No,Credit Card,19.65,332.65,0.0,0,259.2,591.8499999999999,Stayed,,,48,3,591.8499999999999,67354,591.8499999999999,Low CLV,False
1273-MTETI,Female,69,No,0,Rancho Cucamonga,91737,34.245289,-117.642503,0,4,無優惠,Yes,12.86,Yes,Yes,Fiber Optic,4.0,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.85,372.45,0.0,0,51.44,423.89,Churned,Other,Don't know,69,0,423.89,23079,423.89,Low CLV,True
1282-IHQAC,Male,68,No,0,Sheep Ranch,95250,38.244806,-120.417301,0,70,Offer A,No,0.0,,Yes,Cable,13.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,44.05,3011.65,0.0,0,0.0,3011.65,Stayed,,,68,0,3011.65,88,3011.65,Mid CLV,False
1285-OKIPP,Male,62,No,3,Mission Hills,91345,34.266389,-118.459744,0,1,無優惠,Yes,23.2,No,Yes,Fiber Optic,21.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,79.9,79.9,0.0,0,23.2,103.1,Churned,Attitude,Attitude of support person,62,3,103.1,17112,103.1,Low CLV,True
1291-CUOCY,Male,55,Yes,0,Yorkville,95494,38.888351,-123.239647,7,72,無優惠,Yes,4.32,Yes,Yes,Fiber Optic,18.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.6,7962.2,0.0,0,311.04,8273.24,Stayed,,,55,0,8273.24,335,8273.24,High CLV,False
1293-BSEUN,Female,64,Yes,3,Volcano,95689,38.481902,-120.603668,9,72,無優惠,Yes,6.9,No,No,,0.0,,,,,,,,,Two Year,Yes,Credit Card,20.7,1482.3,0.0,0,496.8,1979.1,Stayed,,,64,3,1979.1,1273,1979.1,Mid CLV,False
